dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
dbbench,gptoss20b,dbbench-gptoss20b,101,SE,6,complete_z16_ordered_prefix,300,300,1.0,0.5988272773442911,0.5456673106669883,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SE,8,complete_z16_ordered_prefix,300,300,1.0,0.5988272773442911,0.5456673106669883,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SE,12,complete_z16_ordered_prefix,300,300,1.0,0.5988272773442911,0.5456673106669883,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SE,16,complete_z16_ordered_prefix,300,300,1.0,0.5988272773442911,0.5456673106669883,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SNNE,3,complete_z16_ordered_prefix,300,300,1.0,0.6373562953044923,0.5323073062143909,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SNNE,4,complete_z16_ordered_prefix,300,300,1.0,0.6395955491943304,0.5693789240007396,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SNNE,6,complete_z16_ordered_prefix,300,300,1.0,0.635301722147837,0.5695548621909678,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SNNE,8,complete_z16_ordered_prefix,300,300,1.0,0.6494528833279469,0.5873090474636751,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SNNE,12,complete_z16_ordered_prefix,300,300,1.0,0.6618495775428228,0.6022069098144196,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SNNE,16,complete_z16_ordered_prefix,300,300,1.0,0.6730689320836604,0.5991700400548519,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SentSAR,3,complete_z16_ordered_prefix,300,300,1.0,0.5804977145759269,0.5249737770054245,3.0,
